symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,count,nskew,duvol,ic_count,ic_nskew,ic_duvol,roa,leverage,nic_prod_code
SBIN.NS,STATE BANK OF INDIA,21042,ARVIND LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.040100565,-0.197956577,0,0.942466115,0.208562309,3.2334,0.8114,13
SBIN.NS,STATE BANK OF INDIA,21290,ASAHI SONGWON COLORS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-2,-0.522362531,-0.402821605,-1,-0.510396867,-0.395261118,8.1467,0.4212,20
SBIN.NS,STATE BANK OF INDIA,21290,ASAHI SONGWON COLORS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.289305553,-0.317705809,-1,-0.510396867,-0.395261118,8.1467,0.4212,20
SBIN.NS,STATE BANK OF INDIA,21667,ASHIANA ISPAT LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.07023284,0.136406172,0,0.139137838,0.368642358,3.5529,1.0927,24
SBIN.NS,STATE BANK OF INDIA,21667,ASHIANA ISPAT LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.035349958,0.655364146,0,0.139137838,0.368642358,3.5529,1.0927,24
SBIN.NS,STATE BANK OF INDIA,22855,ASIAN ENERGY SERVICES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.42954152,-0.448401564,0,-0.043263236,-0.131541737,-9.9516,0.1261,43
SBIN.NS,STATE BANK OF INDIA,22855,ASIAN ENERGY SERVICES LTD.,BSE,0.247401023,0.00161674,1,Public,0,-3,-1.63972271,-1.073728109,0,-0.043263236,-0.131541737,-9.9516,0.1261,43
SBIN.NS,STATE BANK OF INDIA,263285,ASIAN GRANITO INDIA LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.045129031,-0.10819917,-1,-0.433471698,-0.704244257,4.0122,0.4177,46
SBIN.NS,STATE BANK OF INDIA,263285,ASIAN GRANITO INDIA LTD.,BSE,0.247401023,0.00161674,1,Public,1,-2,-1.036774645,-0.424076384,-1,-0.433471698,-0.704244257,4.0122,0.4177,46
SBIN.NS,STATE BANK OF INDIA,24967,AUTOMOBILE CORPN. OF GOA LTD.,BSE,0.247401023,0.00161674,1,Public,0,-1,-0.538609709,-0.440852143,0,0.167860021,0.084479344,6.7786,0.0291,29
SBIN.NS,STATE BANK OF INDIA,24967,AUTOMOBILE CORPN. OF GOA LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.249125845,0.384009687,0,0.167860021,0.084479344,6.7786,0.0291,29
SBIN.NS,STATE BANK OF INDIA,520494,AVADH SUGAR & ENERGY LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.32233253,-0.197482515,-3,-1.402645347,-1.115035978,3.6241,3.5749,10
SBIN.NS,STATE BANK OF INDIA,520494,AVADH SUGAR & ENERGY LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.284358323,-0.304617393,-3,-1.402645347,-1.115035978,3.6241,3.5749,10
SBIN.NS,STATE BANK OF INDIA,25176,AVANTI FEEDS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.409783388,-0.477133329,-2,-1.318201122,-0.800118436,38.9294,0,10
SBIN.NS,STATE BANK OF INDIA,25176,AVANTI FEEDS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.241346823,-0.281660941,-2,-1.318201122,-0.800118436,38.9294,0,10
SBIN.NS,STATE BANK OF INDIA,33723,B E M L LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-1.293329282,-0.274584693,1,-0.228014114,-0.44071452,1.1864,0.2024,34
SBIN.NS,STATE BANK OF INDIA,33723,B E M L LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,0.234287482,-0.488963142,1,-0.228014114,-0.44071452,1.1864,0.2024,34
SBIN.NS,STATE BANK OF INDIA,76161,B G R ENERGY SYSTEMS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-1.683649564,-0.796769879,-2,-1.326927873,-0.643178734,0.5039,1.5859,42
SBIN.NS,STATE BANK OF INDIA,76161,B G R ENERGY SYSTEMS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.653737977,-1.070166047,-2,-1.326927873,-0.643178734,0.5039,1.5859,42
SBIN.NS,STATE BANK OF INDIA,442197,B K M INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.23841486,-0.635157014,0,0.096540028,-0.066985727,2.1066,0.8065,34
SBIN.NS,STATE BANK OF INDIA,442197,B K M INDUSTRIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.375821552,-0.072889393,0,0.096540028,-0.066985727,2.1066,0.8065,34
SBIN.NS,STATE BANK OF INDIA,26964,B L KASHYAP & SONS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.027572973,0.050255632,-2,-0.725190857,-0.477032175,3.1803,0.9844,42
SBIN.NS,STATE BANK OF INDIA,26964,B L KASHYAP & SONS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.047477961,-0.243434403,-2,-0.725190857,-0.477032175,3.1803,0.9844,42
SBIN.NS,STATE BANK OF INDIA,27739,B S E L INFRASTRUCTURE REALTY LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.335894221,0.494652808,-2,-0.932315987,-0.221214569,0.109,0,64
SBIN.NS,STATE BANK OF INDIA,27739,B S E L INFRASTRUCTURE REALTY LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.183764839,-0.590094363,-2,-0.932315987,-0.221214569,0.109,0,64
SBIN.NS,STATE BANK OF INDIA,27798,B S L LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.889591828,-0.541999265,-3,-1.517175793,-0.557223111,-0.1076,2.2562,13
SBIN.NS,STATE BANK OF INDIA,27798,B S L LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.656496207,-0.495502289,-3,-1.517175793,-0.557223111,-0.1076,2.2562,13
SBIN.NS,STATE BANK OF INDIA,28503,BAFNA PHARMACEUTICALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.570336222,1.794749954,-1,-0.8074672,-0.565784481,-11.3106,1.1638,21
SBIN.NS,STATE BANK OF INDIA,28503,BAFNA PHARMACEUTICALS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.10917884,-0.08008239,-1,-0.8074672,-0.565784481,-11.3106,1.1638,21
SBIN.NS,STATE BANK OF INDIA,374518,BAJAJ AUTO LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,0.068726755,-0.071931595,0,0.270685181,0.186880578,17.9217,0.0063,30
SBIN.NS,STATE BANK OF INDIA,374518,BAJAJ AUTO LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.449398529,-0.15098521,0,0.270685181,0.186880578,17.9217,0.0063,30
SBIN.NS,STATE BANK OF INDIA,28920,BAJAJ ELECTRICALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.591391743,-0.645248473,-2,-0.617944027,-0.223111486,2.1393,0.7661,46
SBIN.NS,STATE BANK OF INDIA,28920,BAJAJ ELECTRICALS LTD.,NSE,0.247401023,0.00161674,1,Public,0,2,0.632265222,0.538410333,-2,-0.617944027,-0.223111486,2.1393,0.7661,46
SBIN.NS,STATE BANK OF INDIA,29258,BALAJI AMINES LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.388546393,-0.570963714,-3,-0.7989945,-0.649452886,15.2025,0.2475,20
SBIN.NS,STATE BANK OF INDIA,29258,BALAJI AMINES LTD.,BSE,0.247401023,0.00161674,1,Public,1,-2,-0.51987147,-0.316359663,-3,-0.7989945,-0.649452886,15.2025,0.2475,20
