symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,count,nskew,duvol,ic_count,ic_nskew,ic_duvol
SBIN.NS,STATE BANK OF INDIA,16198,ANJANI SYNTHETICS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.3637245322935327,-0.6229734754271217,-1,-0.4063759349244074,-0.40793266303528614
SBIN.NS,STATE BANK OF INDIA,17809,APCOTEX INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.181576564517398,-0.6281151576459492,1,0.14725322421291276,0.016947900341570798
SBIN.NS,STATE BANK OF INDIA,17809,APCOTEX INDUSTRIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,9.359256060269372,2.9776699888087808,1,0.14725322421291276,0.016947900341570798
SBIN.NS,STATE BANK OF INDIA,457276,APOLLO MICRO SYSTEMS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-2,-1.9044403523686098,-1.0485713847993048,-3,-2.42263972690085,-1.4326176298266247
SBIN.NS,STATE BANK OF INDIA,457276,APOLLO MICRO SYSTEMS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.516428349686428,-1.2252257763920036,-3,-2.42263972690085,-1.4326176298266247
SBIN.NS,STATE BANK OF INDIA,377163,ARCHIDPLY INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,0.005004939055502635,-0.28490804943904774,-1,-0.9693369146517824,-0.8171546415377824
SBIN.NS,STATE BANK OF INDIA,377163,ARCHIDPLY INDUSTRIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.1899460807870703,-0.3969872108212794,-1,-0.9693369146517824,-0.8171546415377824
SBIN.NS,STATE BANK OF INDIA,19291,AREX INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.3283100898736336,0.11725441404292879,0,0.605585652177332,0.8860228510947914
SBIN.NS,STATE BANK OF INDIA,19291,AREX INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.055983617478065476,0.2672219086854074,0,0.605585652177332,0.8860228510947914
SBIN.NS,STATE BANK OF INDIA,21042,ARVIND LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.04010056472603928,-0.19795657741301764,0,0.9424661154683232,0.20856230881163298
SBIN.NS,STATE BANK OF INDIA,21042,ARVIND LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.584430054308291,-0.7920293928663452,0,0.9424661154683232,0.20856230881163298
SBIN.NS,STATE BANK OF INDIA,21290,ASAHI SONGWON COLORS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.2893055532960868,-0.3177058086156951,-1,-0.5103968670563496,-0.3952611178506747
SBIN.NS,STATE BANK OF INDIA,21290,ASAHI SONGWON COLORS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-2,-0.522362531411106,-0.4028216054566243,-1,-0.5103968670563496,-0.3952611178506747
SBIN.NS,STATE BANK OF INDIA,21667,ASHIANA ISPAT LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.07023284004177847,0.13640617151600448,0,0.1391378383704337,0.36864235821218905
SBIN.NS,STATE BANK OF INDIA,21667,ASHIANA ISPAT LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.03534995753457729,0.655364145647611,0,0.1391378383704337,0.36864235821218905
SBIN.NS,STATE BANK OF INDIA,22855,ASIAN ENERGY SERVICES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.42954152044629085,-0.44840156448036206,0,-0.043263235509034645,-0.13154173734197708
SBIN.NS,STATE BANK OF INDIA,22855,ASIAN ENERGY SERVICES LTD.,BSE,0.247401023,0.00161674,1,Public,0,-3,-1.6397227095375653,-1.0737281089874806,0,-0.043263235509034645,-0.13154173734197708
SBIN.NS,STATE BANK OF INDIA,263285,ASIAN GRANITO INDIA LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.045129031073103835,-0.10819916955568357,-1,-0.4334716975361537,-0.7042442573882679
SBIN.NS,STATE BANK OF INDIA,263285,ASIAN GRANITO INDIA LTD.,BSE,0.247401023,0.00161674,1,Public,1,-2,-1.0367746448649753,-0.4240763843279305,-1,-0.4334716975361537,-0.7042442573882679
SBIN.NS,STATE BANK OF INDIA,24967,AUTOMOBILE CORPN. OF GOA LTD.,BSE,0.247401023,0.00161674,1,Public,0,-1,-0.5386097092211601,-0.4408521429232225,0,0.1678600205227755,0.08447934397637888
SBIN.NS,STATE BANK OF INDIA,24967,AUTOMOBILE CORPN. OF GOA LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.24912584469129564,0.38400968674974784,0,0.1678600205227755,0.08447934397637888
SBIN.NS,STATE BANK OF INDIA,520494,AVADH SUGAR & ENERGY LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.32233252968039305,-0.19748251513783266,-3,-1.4026453470907707,-1.1150359784446622
SBIN.NS,STATE BANK OF INDIA,520494,AVADH SUGAR & ENERGY LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.2843583232748292,-0.30461739293459855,-3,-1.4026453470907707,-1.1150359784446622
SBIN.NS,STATE BANK OF INDIA,25176,AVANTI FEEDS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.24134682295254584,-0.2816609413230244,-2,-1.3182011223066121,-0.8001184356445554
SBIN.NS,STATE BANK OF INDIA,25176,AVANTI FEEDS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.40978338763689537,-0.4771333286080109,-2,-1.3182011223066121,-0.8001184356445554
SBIN.NS,STATE BANK OF INDIA,33723,B E M L LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-1.2933292821645777,-0.274584692517194,1,-0.2280141144433192,-0.4407145195674432
SBIN.NS,STATE BANK OF INDIA,33723,B E M L LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,0.23428748217290507,-0.48896314180898925,1,-0.2280141144433192,-0.4407145195674432
SBIN.NS,STATE BANK OF INDIA,76161,B G R ENERGY SYSTEMS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.6537379767047564,-1.0701660473482764,-2,-1.3269278731684988,-0.6431787337746674
SBIN.NS,STATE BANK OF INDIA,76161,B G R ENERGY SYSTEMS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-1.6836495641168396,-0.7967698789356925,-2,-1.3269278731684988,-0.6431787337746674
SBIN.NS,STATE BANK OF INDIA,442197,B K M INDUSTRIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.3758215518921983,-0.0728893925920273,0,0.0965400277255927,-0.06698572716743756
SBIN.NS,STATE BANK OF INDIA,442197,B K M INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.23841486047388064,-0.6351570138938868,0,0.0965400277255927,-0.06698572716743756
SBIN.NS,STATE BANK OF INDIA,26964,B L KASHYAP & SONS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.027572972888360348,0.05025563187406555,-2,-0.7251908566910479,-0.47703217488910354
SBIN.NS,STATE BANK OF INDIA,26964,B L KASHYAP & SONS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.04747796123267949,-0.24343440300367655,-2,-0.7251908566910479,-0.47703217488910354
SBIN.NS,STATE BANK OF INDIA,27739,B S E L INFRASTRUCTURE REALTY LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.3358942212455721,0.4946528078634803,-2,-0.9323159868544848,-0.22121456867197098
SBIN.NS,STATE BANK OF INDIA,27739,B S E L INFRASTRUCTURE REALTY LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.18376483925258943,-0.590094362507638,-2,-0.9323159868544848,-0.22121456867197098
SBIN.NS,STATE BANK OF INDIA,27798,B S L LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.8895918280968065,-0.5419992645314053,-3,-1.5171757930757774,-0.5572231111007296
SBIN.NS,STATE BANK OF INDIA,27798,B S L LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.6564962067761768,-0.49550228866826723,-3,-1.5171757930757774,-0.5572231111007296
SBIN.NS,STATE BANK OF INDIA,28503,BAFNA PHARMACEUTICALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.5703362217358652,1.7947499537315954,-1,-0.8074671998058681,-0.5657844808837352
