banker_name,co_code,company_name,bnkhist_date
AXIS BANK LTD.,242192,SUPERSPACE INFRASTRUCTURE LTD.,31-03-2020
AXIS BANK LTD.,241820,SUPERTEX INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,265868,SUPRA TRENDS LTD.,31-03-2020
AXIS BANK LTD.,485531,SUUMAYA INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,244056,SUZLON ENERGY LTD.,31-03-2020
AXIS BANK LTD.,244088,SVARAJ TRADING & AGENCIES LTD.,31-03-2020
AXIS BANK LTD.,245701,SYSTEMATIX CORPORATE SERVICES LTD.,31-03-2020
AXIS BANK LTD.,246345,T R F LTD.,31-03-2020
AXIS BANK LTD.,324131,TAKE SOLUTIONS LTD.,31-03-2020
AXIS BANK LTD.,247749,TARAI FOODS LTD.,31-03-2020
AXIS BANK LTD.,248022,TASHI INDIA LTD.,31-03-2020
AXIS BANK LTD.,248165,TATA POWER CO. LTD.,31-03-2020
AXIS BANK LTD.,98501,TEAMLEASE SERVICES LTD.,31-03-2020
AXIS BANK LTD.,136494,TECH MAHINDRA LTD.,31-03-2020
AXIS BANK LTD.,230535,TECHNVISION VENTURES LTD.,31-03-2020
