symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,count,nskew,duvol,ic_count,ic_nskew,ic_duvol,nic_prod_code,co_industry_name
SBIN.NS,STATE BANK OF INDIA,24967,AUTOMOBILE CORPN. OF GOA LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.2491258446912956,0.3840096867497478,0,0.1678600205227755,0.0844793439763788,29,Other automobile ancillaries
SBIN.NS,STATE BANK OF INDIA,520494,AVADH SUGAR & ENERGY LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.322332529680393,-0.1974825151378326,-3,-1.4026453470907707,-1.1150359784446622,10,Sugar
SBIN.NS,STATE BANK OF INDIA,520494,AVADH SUGAR & ENERGY LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.2843583232748292,-0.3046173929345985,-3,-1.4026453470907707,-1.1150359784446622,10,Sugar
SBIN.NS,STATE BANK OF INDIA,25176,AVANTI FEEDS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.2413468229525458,-0.2816609413230244,-2,-1.318201122306612,-0.8001184356445554,10,Vegetable oils & products
SBIN.NS,STATE BANK OF INDIA,25176,AVANTI FEEDS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.4097833876368953,-0.4771333286080109,-2,-1.318201122306612,-0.8001184356445554,10,Vegetable oils & products
SBIN.NS,STATE BANK OF INDIA,33723,B E M L LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-1.2933292821645777,-0.274584692517194,1,-0.2280141144433192,-0.4407145195674432,34,Diversified manufacturing
SBIN.NS,STATE BANK OF INDIA,33723,B E M L LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,0.234287482172905,-0.4889631418089892,1,-0.2280141144433192,-0.4407145195674432,34,Diversified manufacturing
SBIN.NS,STATE BANK OF INDIA,76161,B G R ENERGY SYSTEMS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.6537379767047564,-1.0701660473482764,-2,-1.3269278731684988,-0.6431787337746674,42,Industrial construction
SBIN.NS,STATE BANK OF INDIA,76161,B G R ENERGY SYSTEMS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-1.6836495641168396,-0.7967698789356925,-2,-1.3269278731684988,-0.6431787337746674,42,Industrial construction
SBIN.NS,STATE BANK OF INDIA,442197,B K M INDUSTRIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.3758215518921983,-0.0728893925920273,0,0.0965400277255927,-0.0669857271674375,34,Diversified
SBIN.NS,STATE BANK OF INDIA,442197,B K M INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.2384148604738806,-0.6351570138938868,0,0.0965400277255927,-0.0669857271674375,34,Diversified
SBIN.NS,STATE BANK OF INDIA,26964,B L KASHYAP & SONS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.0275729728883603,0.0502556318740655,-2,-0.7251908566910479,-0.4770321748891035,42,Industrial construction
SBIN.NS,STATE BANK OF INDIA,26964,B L KASHYAP & SONS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.0474779612326794,-0.2434344030036765,-2,-0.7251908566910479,-0.4770321748891035,42,Industrial construction
SBIN.NS,STATE BANK OF INDIA,27739,B S E L INFRASTRUCTURE REALTY LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.3358942212455721,0.4946528078634803,-2,-0.9323159868544848,-0.2212145686719709,64,Other fund based financial services
SBIN.NS,STATE BANK OF INDIA,27739,B S E L INFRASTRUCTURE REALTY LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.1837648392525894,-0.590094362507638,-2,-0.9323159868544848,-0.2212145686719709,64,Other fund based financial services
SBIN.NS,STATE BANK OF INDIA,27798,B S L LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.8895918280968065,-0.5419992645314053,-3,-1.5171757930757774,-0.5572231111007296,13,Cloth
