,index,co_code,company_name,co_stkdate,nse_closing_price,nse_returns
105,41498,11,20 MICRONS LTD.,2019-06-06,38.3,0.96
106,41499,11,20 MICRONS LTD.,2019-06-07,37.85,0.99
107,41500,11,20 MICRONS LTD.,2019-06-10,37.8,1.0
108,41501,11,20 MICRONS LTD.,2019-06-11,37.15,0.98
109,41502,11,20 MICRONS LTD.,2019-06-12,36.7,0.99
110,41503,11,20 MICRONS LTD.,2019-06-13,36.55,1.0
111,41504,11,20 MICRONS LTD.,2019-06-14,36.1,0.99
112,41505,11,20 MICRONS LTD.,2019-06-17,34.95,0.97
113,41506,11,20 MICRONS LTD.,2019-06-18,35.9,1.03
114,41507,11,20 MICRONS LTD.,2019-06-19,34.8,0.97
115,41508,11,20 MICRONS LTD.,2019-06-20,35.55,1.02
116,41509,11,20 MICRONS LTD.,2019-06-21,35.2,0.99
117,41510,11,20 MICRONS LTD.,2019-06-24,35.85,1.02
118,41511,11,20 MICRONS LTD.,2019-06-25,36.2,1.01
119,41512,11,20 MICRONS LTD.,2019-06-26,36.9,1.02
120,41513,11,20 MICRONS LTD.,2019-06-27,37.05,1.0
121,41514,11,20 MICRONS LTD.,2019-06-28,37.05,1.0
122,41515,11,20 MICRONS LTD.,2019-07-01,37.15,1.0
123,41516,11,20 MICRONS LTD.,2019-07-02,36.75,0.99
124,41517,11,20 MICRONS LTD.,2019-07-03,38.85,1.06
125,41518,11,20 MICRONS LTD.,2019-07-04,38.7,1.0
126,41519,11,20 MICRONS LTD.,2019-07-05,37.3,0.96
127,41520,11,20 MICRONS LTD.,2019-07-08,36.1,0.97
128,41521,11,20 MICRONS LTD.,2019-07-09,36.55,1.01
129,41522,11,20 MICRONS LTD.,2019-07-10,35.95,0.98
130,41523,11,20 MICRONS LTD.,2019-07-11,36.35,1.01
131,41524,11,20 MICRONS LTD.,2019-07-12,36.7,1.01
132,41525,11,20 MICRONS LTD.,2019-07-15,36.1,0.98
133,41526,11,20 MICRONS LTD.,2019-07-16,35.95,1.0
134,41527,11,20 MICRONS LTD.,2019-07-17,35.95,1.0
135,41528,11,20 MICRONS LTD.,2019-07-18,36.0,1.0
136,41529,11,20 MICRONS LTD.,2019-07-19,35.4,0.98
137,41530,11,20 MICRONS LTD.,2019-07-22,34.85,0.98
138,41531,11,20 MICRONS LTD.,2019-07-23,35.95,1.03
139,41532,11,20 MICRONS LTD.,2019-07-24,35.95,1.0
140,41533,11,20 MICRONS LTD.,2019-07-25,35.1,0.98
141,41534,11,20 MICRONS LTD.,2019-07-26,35.15,1.0
142,41535,11,20 MICRONS LTD.,2019-07-29,35.2,1.0
143,41536,11,20 MICRONS LTD.,2019-07-30,34.1,0.97
144,41537,11,20 MICRONS LTD.,2019-07-31,33.8,0.99
