symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,binary,nskew,duvol,ic_binary,ic_nskew,ic_duvol,roa,levarage,nic_prod_code
SBIN.NS,STATE BANK OF INDIA,28920,BAJAJ ELECTRICALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.870585496,-0.874361565,0,-0.457010639,-0.110875984,2.1393,0.7661,46
SBIN.NS,STATE BANK OF INDIA,29258,BALAJI AMINES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.89854595,-0.614705811,0,-0.521405462,-0.411568316,15.2025,0.2475,20
SBIN.NS,STATE BANK OF INDIA,29258,BALAJI AMINES LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.366017827,-0.550520366,0,-0.521405462,-0.411568316,15.2025,0.2475,20
SBIN.NS,STATE BANK OF INDIA,327425,BALMER LAWRIE INVSTS. LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.869919276,-0.693275581,0,-3.572625136,-1.19356046,38.3677,0,64
SBIN.NS,STATE BANK OF INDIA,327425,BALMER LAWRIE INVSTS. LTD.,BSE,0.247401023,0.00161674,1,Public,0,1,4.273888131,1.244852257,0,-3.572625136,-1.19356046,38.3677,0,64
SBIN.NS,STATE BANK OF INDIA,29728,BALRAMPUR CHINI MILLS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.63815739,-0.345001871,1,-0.005382834,0.052112801,5.2016,0.6237,10
SBIN.NS,STATE BANK OF INDIA,29728,BALRAMPUR CHINI MILLS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.847595391,-0.727753229,1,-0.005382834,0.052112801,5.2016,0.6237,10
SBIN.NS,STATE BANK OF INDIA,29785,BALURGHAT TECHNOLOGIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.160371553,0.04574583,0,0.396333547,0.464974362,5.4539,0.5518,49
SBIN.NS,STATE BANK OF INDIA,29785,BALURGHAT TECHNOLOGIES LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.374768772,-0.791475536,0,0.396333547,0.464974362,5.4539,0.5518,49
SBIN.NS,STATE BANK OF INDIA,29843,BAMPSL SECURITIES LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.732259308,1.524140537,0,0.335679305,0.664165628,0.0262,0,64
SBIN.NS,STATE BANK OF INDIA,29843,BAMPSL SECURITIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.077247958,-0.40467857,0,0.335679305,0.664165628,0.0262,0,64
SBIN.NS,STATE BANK OF INDIA,29909,BANCO PRODUCTS (INDIA) LTD.,NSE,0.247401023,0.00161674,1,Public,0,2,0.157090836,-0.016625392,1,0.930845826,0.576096756,17.5734,0.0039,29
SBIN.NS,STATE BANK OF INDIA,29909,BANCO PRODUCTS (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,1,1.188218302,0.071893098,1,0.930845826,0.576096756,17.5734,0.0039,29
SBIN.NS,STATE BANK OF INDIA,30882,BASANT AGRO TECH (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.270973978,0.026893736,0,-0.103887043,-0.153085513,2.3667,0.9393,20
SBIN.NS,STATE BANK OF INDIA,30882,BASANT AGRO TECH (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.710066533,-0.424607444,0,-0.103887043,-0.153085513,2.3667,0.9393,20
SBIN.NS,STATE BANK OF INDIA,31130,BATA INDIA LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.082936733,0.014661706,1,-0.339880806,-0.047231249,11.0102,0,47
SBIN.NS,STATE BANK OF INDIA,31130,BATA INDIA LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,-0.35156891,-0.298793991,1,-0.339880806,-0.047231249,11.0102,0,47
SBIN.NS,STATE BANK OF INDIA,31723,BEEKAY STEEL INDS. LTD.,BSE,0.247401023,0.00161674,1,Public,0,1,0.864388355,0.556885013,0,0.421842256,0.41838009,12.6996,0.6048,24
SBIN.NS,STATE BANK OF INDIA,31723,BEEKAY STEEL INDS. LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.446412394,0.627525316,0,0.421842256,0.41838009,12.6996,0.6048,24
SBIN.NS,STATE BANK OF INDIA,32255,BENGAL TEA & FABRICS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.106694151,0.098016792,0,0.454066695,0.618215497,3.5337,0.2681,10
SBIN.NS,STATE BANK OF INDIA,32255,BENGAL TEA & FABRICS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.241630025,0.258120005,0,0.454066695,0.618215497,3.5337,0.2681,10
SBIN.NS,STATE BANK OF INDIA,33015,BHAGIRADHA CHEMICALS & INDS. LTD.,BSE,0.247401023,0.00161674,1,Public,0,1,0.995432269,0.960992843,1,-0.199990739,-0.255487789,-4.302,0.6005,20
SBIN.NS,STATE BANK OF INDIA,33015,BHAGIRADHA CHEMICALS & INDS. LTD.,BSE,0.247401023,0.00161674,1,Public,1,2,0.211402194,0.112814141,1,-0.199990739,-0.255487789,-4.302,0.6005,20
SBIN.NS,STATE BANK OF INDIA,33477,BHANDARI HOSIERY EXPORTS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,0.149666769,0.834602017,0,-0.881058799,0.132774484,3.0792,1.3691,13
