symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,binary,nskew,duvol
SBIN.NS,STATE BANK OF INDIA,31723,BEEKAY STEEL INDS. LTD.,BSE,0.247401023,0.00161674,True,Public,0,1,0.07991273164676913,0.5916119669774839
SBIN.NS,STATE BANK OF INDIA,33015,BHAGIRADHA CHEMICALS & INDS. LTD.,BSE,0.247401023,0.00161674,True,Public,1,1,0.02730592791107359,0.40839671361954555
SBIN.NS,STATE BANK OF INDIA,33015,BHAGIRADHA CHEMICALS & INDS. LTD.,BSE,0.247401023,0.00161674,True,Public,0,1,0.0855879791544882,0.696430363847337
SBIN.NS,STATE BANK OF INDIA,33477,BHANDARI HOSIERY EXPORTS LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,0.013836697715153237,0.34690759937105453
SBIN.NS,STATE BANK OF INDIA,33477,BHANDARI HOSIERY EXPORTS LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.06332925829050526,-0.5457692079354625
SBIN.NS,STATE BANK OF INDIA,33759,BHARAT GEARS LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.004328583621328837,-0.0012763663271681915
SBIN.NS,STATE BANK OF INDIA,33759,BHARAT GEARS LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.1360118110374991,-1.0386959808035328
SBIN.NS,STATE BANK OF INDIA,33873,BHARAT PETROLEUM CORPN. LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.08634642711546502,-0.8292017441847743
SBIN.NS,STATE BANK OF INDIA,33873,BHARAT PETROLEUM CORPN. LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.05215060439277421,0.3898257329498737
SBIN.NS,STATE BANK OF INDIA,33901,BHARAT RASAYAN LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.04381061846238424,0.24831561962212284
SBIN.NS,STATE BANK OF INDIA,33901,BHARAT RASAYAN LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.261157796518294,-1.8924441746823581
SBIN.NS,STATE BANK OF INDIA,34213,BHARTIYA INTERNATIONAL LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.007160486720520395,0.12774508922159777
SBIN.NS,STATE BANK OF INDIA,34213,BHARTIYA INTERNATIONAL LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,0.016170508606301266,-0.03428096041805741
SBIN.NS,STATE BANK OF INDIA,388937,BIL ENERGY SYSTEMS LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,0.018697567834188904,0.18467770910973902
SBIN.NS,STATE BANK OF INDIA,388937,BIL ENERGY SYSTEMS LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.0019626096069309045,-0.07613088560594969
SBIN.NS,STATE BANK OF INDIA,36081,BIOFIL CHEMICALS & PHARMACEUTICALS LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.055559501680429654,-1.056286571060481
SBIN.NS,STATE BANK OF INDIA,36081,BIOFIL CHEMICALS & PHARMACEUTICALS LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,0.009888393614921442,-0.03720526588680322
SBIN.NS,STATE BANK OF INDIA,36309,BIRLA CABLE LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,0.01752339956203454,0.011989368560961642
SBIN.NS,STATE BANK OF INDIA,36309,BIRLA CABLE LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.0925667491867708,-0.706119440756189
SBIN.NS,STATE BANK OF INDIA,122948,BIRLASOFT LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.04334150915454904,-0.03345019015038182
SBIN.NS,STATE BANK OF INDIA,122948,BIRLASOFT LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,0.04735180216962048,0.49610576912761956
SBIN.NS,STATE BANK OF INDIA,149711,BOSCH LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,0.021403810146170262,0.2501328356681644
SBIN.NS,STATE BANK OF INDIA,149711,BOSCH LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.03195057021330163,-0.17777156920983933
SBIN.NS,STATE BANK OF INDIA,78469,BUTTERFLY GANDHIMATHI APPLIANCES LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.20092514241823317,-1.4697719684333845
SBIN.NS,STATE BANK OF INDIA,78469,BUTTERFLY GANDHIMATHI APPLIANCES LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.05697630661555046,-0.19804358710297568
SBIN.NS,STATE BANK OF INDIA,50692,C C L PRODUCTS (INDIA) LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,0.11012738540948733,0.757610918781578
SBIN.NS,STATE BANK OF INDIA,50692,C C L PRODUCTS (INDIA) LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,-0.010589059923394423,-0.33415029136719226
SBIN.NS,STATE BANK OF INDIA,52418,C G POWER & INDL. SOLUTIONS LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.014075264666865253,-0.13736529410615883
SBIN.NS,STATE BANK OF INDIA,52418,C G POWER & INDL. SOLUTIONS LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,0.1695488272626487,0.7834146103565955
SBIN.NS,STATE BANK OF INDIA,40202,C G-V A K SOFTWARE & EXPORTS LTD.,BSE,0.247401023,0.00161674,True,Public,1,0,0.0582662784011399,0.5514616510944954
SBIN.NS,STATE BANK OF INDIA,40202,C G-V A K SOFTWARE & EXPORTS LTD.,BSE,0.247401023,0.00161674,True,Public,0,0,-0.013312153261762143,0.053213494887538744
SBIN.NS,STATE BANK OF INDIA,386419,C I L NOVA PETROCHEMICALS LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.05162715569496575,-0.10248373049620906
SBIN.NS,STATE BANK OF INDIA,386419,C I L NOVA PETROCHEMICALS LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,0.005534227006657279,0.21304417772353812
SBIN.NS,STATE BANK OF INDIA,50505,C S L FINANCE LTD.,BSE,0.247401023,0.00161674,True,Public,0,0,-0.05334994036292478,-0.25539784880491573
SBIN.NS,STATE BANK OF INDIA,50505,C S L FINANCE LTD.,BSE,0.247401023,0.00161674,True,Public,1,0,-0.004313247068066687,0.022686863923529636
SBIN.NS,STATE BANK OF INDIA,41823,CAN FIN HOMES LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,-0.03979669569288004,-0.2629546864578923
SBIN.NS,STATE BANK OF INDIA,41823,CAN FIN HOMES LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.07421407712061097,-0.5668360541862069
SBIN.NS,STATE BANK OF INDIA,465964,CAPACIT'E INFRAPROJECTS LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,0.20312042910589226,0.8785360757893369
SBIN.NS,STATE BANK OF INDIA,465964,CAPACIT'E INFRAPROJECTS LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.053135697863755986,-0.10251872595444554
SBIN.NS,STATE BANK OF INDIA,42355,CAPTAIN POLYPLAST LTD.,BSE,0.247401023,0.00161674,True,Public,0,1,-0.010980910405224262,-0.17180205530052522
SBIN.NS,STATE BANK OF INDIA,42355,CAPTAIN POLYPLAST LTD.,BSE,0.247401023,0.00161674,True,Public,1,1,-0.05235088108408189,-0.02482545792486103
SBIN.NS,STATE BANK OF INDIA,42443,CARBORUNDUM UNIVERSAL LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.08858209162110774,0.7041290301358162
SBIN.NS,STATE BANK OF INDIA,42443,CARBORUNDUM UNIVERSAL LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,0.031232921954683645,-0.06523159816441042
SBIN.NS,STATE BANK OF INDIA,43288,CELEBRITY FASHIONS LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.06067413003751295,-0.0714795687668281
SBIN.NS,STATE BANK OF INDIA,43288,CELEBRITY FASHIONS LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.008594858405572071,-0.19025748394787131
SBIN.NS,STATE BANK OF INDIA,357622,CELESTIAL BIOLABS LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,0.07409453397258442,0.6154380111204387
SBIN.NS,STATE BANK OF INDIA,357622,CELESTIAL BIOLABS LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.06615248662621699,-0.24222242050967133
SBIN.NS,STATE BANK OF INDIA,41136,CENTUM ELECTRONICS LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.08821929879469499,-0.5857458062629916
SBIN.NS,STATE BANK OF INDIA,41136,CENTUM ELECTRONICS LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,0.03951893479690198,0.5172114602683965
SBIN.NS,STATE BANK OF INDIA,43681,CENTURY EXTRUSIONS LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.11888975013548798,-1.3903846035989769
SBIN.NS,STATE BANK OF INDIA,43681,CENTURY EXTRUSIONS LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,-0.028600157738646097,-0.1641949945614123
SBIN.NS,STATE BANK OF INDIA,134290,CERA SANITARYWARE LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,0.018229822165694853,0.31325289226209757
SBIN.NS,STATE BANK OF INDIA,134290,CERA SANITARYWARE LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,-0.012860211439672612,0.13976512568146446
SBIN.NS,STATE BANK OF INDIA,46009,CHENNAI PETROLEUM CORPN. LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,0.03817400283157587,0.40485081165263964
SBIN.NS,STATE BANK OF INDIA,46009,CHENNAI PETROLEUM CORPN. LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,-0.06486657924649156,-0.3728620855575798
SBIN.NS,STATE BANK OF INDIA,46309,CHEVIOT CO. LTD.,BSE,0.247401023,0.00161674,True,Public,0,1,-0.015491117122006622,-0.7157489308222519
SBIN.NS,STATE BANK OF INDIA,46309,CHEVIOT CO. LTD.,BSE,0.247401023,0.00161674,True,Public,1,1,0.06953826701055864,0.6536337297908396
SBIN.NS,STATE BANK OF INDIA,48960,COCHIN SHIPYARD LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.08134712229293913,-0.4880737834637764
SBIN.NS,STATE BANK OF INDIA,48960,COCHIN SHIPYARD LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.04918920395586744,0.24900680354259924
SBIN.NS,STATE BANK OF INDIA,398310,COMMERCIAL SYN BAGS LTD.,BSE,0.247401023,0.00161674,True,Public,0,0,0.007775037212525481,-0.049702246882293744
SBIN.NS,STATE BANK OF INDIA,398310,COMMERCIAL SYN BAGS LTD.,BSE,0.247401023,0.00161674,True,Public,1,0,0.00495912330019037,0.11314271621829851
SBIN.NS,STATE BANK OF INDIA,49733,COMPETENT AUTOMOBILES CO. LTD.,BSE,0.247401023,0.00161674,True,Public,1,0,-0.029702692373846373,-0.2689597516681326
